id,type,hook size,start_date,end_date,time_taken
shrug sweater,yarn and crochet,,2023-11-29,2024-01-07,40
Swatch for temp blanket 3x3,yarn and crochet hook,,2024-01-05,2024-01-05,1
Temperature Blanket,yarn and crochet hook,,2024-01-07,2024-02-27,52
Ribbed Crochet Hat,yarn and crochet,5mm,2024-02-21,2024-02-23,3
Hexagon sweater,yarn and crochet,,2024-02-29,2024-04-07,39
Hat for Aime,yarn and crochet,4mm,2024-03-10,2024-03-17,8
Name Mandala,pen and paper,,2024-03-11,2024-11-26,261
Box Bag for crochet hooks,"yarn and crochet hooks, cloth lining",,2024-04-10,2024-04-20,11
Ganesh Mandala,pen and paper,,2024-04-15,2024-04-19,5
Crochet top (army green mix),yarn and crochet hook,,2024-04-21,2024-04-24,4
Hat for me (teal from temp. blank),yarn and crochet,,2024-04-23,2024-04-27,5
Gloves for me (Teal),yarn and crochet,5mm,2024-04-27,2024-04-28,2
Bandana cotton,yarn and crochet,,2024-04-29,2024-04-30,2
gumdrop beanie purple,yarn and crochet,,2024-04-30,2024-05-02,3
gumdrop beanie teal,yarn and crochet,,2024-05-02,2024-05-04,3
crochet bookmark lace,yarn and crochet,,2024-05-05,2024-05-05,1
Crochet ear muff,yarn and crochet,,2024-05-05,2024-05-06,2
Long shrug pattern (shades of green),yarn and crochet,5.5mm,2024-05-06,2024-06-08,34
Wristlet (5),yarn and crochet,5.5mm,2024-05-17,2024-05-18,2
Granny Belt Bag 1,yarn and crochet,5mm,2024-05-18,2024-05-23,6
Wrap Pixel cord with teal,yarn and crochet,,2024-06-06,2024-06-08,3
Crochet fidget toy (scraps),yarn and crochet,4.5mm,2024-06-08,2024-06-09,2
Baby Booties with alpaca wool,yarn and crochet,4mm,2024-06-10,2024-06-10,1
Friendship bracelet yellow rani,,,2024-06-12,2024-06-13,2
Friendship bracelet purple/teal,,,2024-06-15,2024-06-19,5
Shrug with alpaca wool,yarn and crochet,4mm,2024-07-06,2024-08-15,41
Triangle Summer shawl baby purple,yarn and crochet,6mm,2024-08-02,2024-08-08,7
Fall shrug,yarn and crochet,"6mm, 6.5mm",2024-08-15,2024-09-19,36
Blue bookmark (2),paper,,2024-09-13,2024-09-13,1
Spider Web,yarn and crochet,4mm,2024-09-26,2024-10-31,36
Triangle Summer shawl baby purple,yarn and crochet,6mm,2024-11-01,2024-11-07,7
Blue Box bag,yarn and crochet,3.5mm,2024-11-08,2024-11-21,14
Elephant Tapestry Crochet,yarn and crochet ,3.5 mm,2024-11-15,2024-11-21,7
Hat blue-yellow brim,yarn and crochet,"4mm, 3.5mm",2024-11-16,2024-11-21,6
Pink-Purple boomark,paper,,2024-11-16,2024-11-16,1
Pink shades scarf,yarn and crochet,5mm,2024-11-22,2024-11-24,3
Blue ribbed brim hat,yarn and crochet,6mm,2024-11-23,2024-11-24,2
Pink shades brim hat,yarn and crochet,6mm,2024-11-24,2024-11-24,1
Granny Square bag,yarn and crochet,5.5mm,2024-11-24,2024-12-03,10
Dodecahedron star ornament,origami,,2024-11-25,2024-11-25,1
Blue headband,"cotton yarn, crochet",4mm,2024-11-25,2024-11-25,1
Pink headband,"cotton yarn, crochet",5mm,2024-11-25,2024-11-25,1
Purple-yellow headband,"cotton yarn, crochet",5mm,2024-11-26,2024-11-26,1
Earbud holder,"cotton yarn, crochet","5mm, 4mm, 3.5mm",2024-11-26,2024-11-26,1
Cord organizer,yarn and crochet,3mm,2024-12-02,2024-12-02,1
Cord organizer,yarn and crochet,4mm,2024-12-02,2024-12-02,1
Purple mix wristlet,"cotton yarn, crochet",6mm,2024-12-03,2024-12-03,1
Red-pink wristlet,"cotton yarn, crochet",6mm,2024-12-04,2024-12-04,1
Purple brim hat,yarn and crochet,6mm,2024-12-04,2024-12-05,2
Light green brim hat,yarn and crochet,6mm,2024-12-05,2024-12-06,2
red wristlet star stitch,,5mm,,,1
red-blue wristlet linkeddc,,6mm,,,1
Teal brim hat,,6mm,2024-12-07,2024-12-07,1
yellow star stitch,,4mm,,,1
pink star stitch ,,4mm,,,1
many wristlets,,4mm,,,1
many wristlets,,6mm,2024-12-07,2024-12-25,19
dishcloth,,5mm,2024-12-27,2024-12-27,1
dischcloth,,5mm,2024-12-27,2024-12-28,2
dishcloth,,5mm,2024-12-28,2024-12-28,1
dishcloth,,5mm,2024-12-28,2024-12-29,2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
