name_books,author,publisher,Year,pages,words,start_date,end_date,time_taken_days,pagespday,wordspday,,,,,,,,,,,,,,,,
The Ballad of Songbirds and Snakes,Suzanne Collins,,2020,790,,2023-11-11,2024-01-03,54,14.62962963,,,,,,,,,,,,,,,,,
The Golden Compass,Philip Pullman,,1995,399,,2024-01-03,2024-01-15,13,30.69230769,,,,,,,,,,,,,,,,,
The Exchange after the firm,John Grisham,,2023,336,,2024-01-17,2024-01-21,5,67.2,,,,,,,,,,,,,,,,,
The Subtle Knife,Philip Pullman ,,1997,326,,2024-01-22,2024-01-31,10,32.6,,,,,,,,,,,,,,,,,
The Amber Spyglass,Philip Pullman,,2000,518,,2024-02-01,2024-02-10,10,51.8,,,,,,,,,,,,,,,,,
The Dinosaur Feather,S. J. Gazan,,2008,431,,2024-02-11,2024-02-15,5,86.2,,,,,,,,,,,,,,,,,
Lessons in Chemistry,Bonnie Garmus,,2022,390,,2024-02-15,2024-02-21,7,55.71428571,,,,,,,,,,,,,,,,,
Sphere,Michael Crichton,,1987,522,,2024-02-22,2024-02-29,8,65.25,,,,,,,,,,,,,,,,,
An Immense World,Ed Yong,,2022,359,,2024-02-29,2024-03-16,17,21.11764706,,,,,,,,,,,,,,,,,
Mistborn: The Final Empire,Brandon Sanderson,,2006,643,,2024-03-17,2024-04-19,34,18.91176471,,,,,,,,,,,,,,,,,
The Arc of the Swallow ,S. J. Gazan,,2013,566,,2024-04-19,2024-05-23,27,20.96296296,,,,,,,,,,,,,,,,,
Timeline,Michael Crichton ,,1999,657,,2024-05-07,2024-06-18,27,24.33333333,,,,,,,,,,,,,,,,,
State of Fear,Michael Crichton ,,2004,735,,2024-07-23,2024-08-18,19,38.68421053,,,,,,,,,,,,,,,,,
The World of Ice and Fire,George R. R. Martin,,2014,308,,2024-08-18,2024-09-06,12,25.66666667,,,,,,,,,,,,,,,,,
The Well of Ascension,Brandon Sanderson,,2007,792,,2024-09-13,2024-11-13,54,14.66666667,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
