name_shows,platform,language,type,with,number_seasons,total_units,start_date,end_date,time_taken,unitspday
Kaala Paani,Netflix,Hindi,Series,Myself,1,7,45292,45292,1,7
Three of Us,Netflix,Hindi,Movie,Myself,,1,45294,45294,1,1
No Hard Feelings,Netflix,English,Movie,Myself,,1,45294,45294,1,1
Mission Majnu,Netflix,Hindi,Movie,Myself,,1,45295,45295,1,1
Jaane Jaan,Netflix,Hindi,Movie,Myself,,1,45295,45295,1,1
Vir Das: Landing,Netflix,Hindi,Movie,Myself,,1,45295,45295,1,1
Poster Boys,Netflix,Hindi,Movie,Myself,,1,45296,45296,1,1
2 Broke Girls,Roku,English,Series,Myself,6,138,45296,45324,29,4.75862069
Shang- Chi,Disney Plus,English,Movie,MAM,,1,45298,45299,2,0.5
Is This It?,YouTube,English,Special,Myself,,1,45300,45300,1,1
Is This It?,YouTube,English,Special,Myself,,1,45301,45303,3,0.333333333
The Falcon and the Wnter Soldier,Disney Plus,English,Movie,Myself,,1,45306,45310,5,0.2
Mean Girls,YouTube,English,Movie,Myself,,1,45309,45309,1,1
Eternals,Disney Plus,English,Movie,MAM,,1,45311,45312,2,0.5
Spiderman: Far From Home,Disney Plus,English,Movie,MAM,,1,45313,45313,1,1
The Ballad of Songbirds and Snakes,Rido Movies,English,Movie,Myself,,1,45315,45315,1,1
For All Mankind,Apple TV+,English,Series,MAM,4,40,45315,45408,94,0.425531915
The Morning Show,Apple TV+,English,Series,Myself,3,30,45315,45354,40,0.75
The Whale,Rido Movies,English,Movie,Myself,,1,45316,45316,1,1
Girl in the Basement,Rido Movies,English,Movie,Myself,,1,45321,45321,1,1
Spiderman: No Way Home,Rido Movies,English,Movie,MAM,,1,45323,45323,1,1
Clueless,YouTube,English,Movie,Myself,,1,45324,45324,1,1
Doctor Strange in the Multiverse of Madness,Disney Plus,English,Movie,MAM,,1,45326,45327,2,0.5
Hawkeye,Disney Plus,English,Series,MAM,1,6,45330,45336,7,0.857142857
The Marvels,Disney Plus,English,Movie,Myself,,1,45330,45330,1,1
Moon Knight,Disney Plus,English,Series,MAM,1,6,45337,45343,7,0.857142857
Source Code,Downloaded,English,Movie,MAM,,1,45339,45339,1,1
Lessons in Chemistry,Apple TV+,English,Series,Myself,1,8,45347,45348,2,4
Mona Lisa Smile,HBOMax,English,Movie,Myself,,1,45353,45353,1,1
Killers of the Flower Moon,Apple TV+,English,Movie,Myself,,1,45355,45358,4,0.25
Not Dead Yet,Hulu,English,Series,Myself,1,13,45356,45358,3,4.333333333
The Dropout,Hulu,English,Series,Myself,1,8,45358,45360,3,2.666666667
Wakanda Forever,Disney Plus,English,Movie,MAM,,1,45358,45359,2,0.5
Avatar: The Last Airbender (Live-action),Netflix,English,Series,MAM,1,8,45359,45366,8,1
The Patient,Hulu,English,Series,Myself,1,10,45360,45360,1,10
Avatar: The Last Airbender,Netflix,English,Series,Myself,3,61,45361,45368,8,7.625
Poor Things,Hulu,English,Movie,Myself,,1,45362,45362,1,1
Damsel,Netflix,English,Movie,Myself,,1,45363,45363,1,1
The Act,Hulu,English,Series,Myself,1,8,45368,45369,2,4
The Legend of Korra,Netflix,English,Series,Myself,4,52,45369,45378,10,5.2
Animal,Netflix,Hindi,Movie,Myself,,1,45374,45374,1,1
Fighter,Netflix,Hindi,Movie,Myself,,1,45375,45375,1,1
Quiet on Set,HBOMax,English,Series,Myself,1,4,45377,45378,2,2
Love at First Sight,Netflix,English,Movie,Myself,,1,45379,45379,1,1
Aisha,Hulu,Hindi,Movie,Myself,,1,45379,45382,4,0.25
Brooklyn 99,Netflix,English,Series,Myself,4,90,45382,45393,12,7.5
3 body problem ,Netflix,English,Series,Myself,1,8,45386,45387,2,4
Monkey Man,Theatre,English,Movie,Myself,,1,45391,45391,1,1
Split,Netflix,English,Movie,Myself,,1,45393,45393,1,1
Echo,Disney Plus,English,Series,Myself,1,5,45393,45397,5,1
Brooklyn 99,Downloaded,English,Series,Myself,Season 5,22,45393,45396,4,5.5
Unbreakable,HBOMax,English,Movie,Myself,,1,45397,45397,1,1
Mamla Legal Hai,Netflix,Hindi,Series,Myself,1,8,45398,45399,2,4
What Jennifer Did,Netflix,English,Documentary,Myself,,1,45399,45399,1,1
Sex Education,Netflix,English,Series,Myself,Season 4,8,45400,45402,3,2.666666667
Anne with an E,Netflix,English,Series,Myself,3,27,45402,45406,5,5.4
Baby Reindeer,Netflix,English,Series,Myself,1,7,45406,45407,2,3.5
Article 370,Netflix,English,Movie,Myself,,1,45407,45408,2,0.5
Shameless,Netflix,English,Series,Myself,11,134,45409,45456,48,2.791666667
Laapataa Ladies,Netflix,Hindi,Movie,Myself,,1,45409,45409,1,1
Miller's Girl,Netflix,English,Movie,Myself,,1,45413,45413,1,1
Brooklyn 99,Netflix,English,Series,Myself,Seasons 6-8,41,45425,45427,3,13.66666667
Heeramandi,Netflix,Hindi,Series,Myself,1,8,45427,45428,2,4
Bridgerton,Netflix,English,Series,Myself,Season 3 part 1,4,45430,45430,1,4
Agantuk: The Stranger,HBOMax,Bangla,Movie,Myself,,1,45434,45434,1,1
Delhi-6,Netflix,Hindi,Movie,Myself,,1,45436,45436,1,1
Luck By Chance,Netflix,Hindi,Movie,Myself,,1,45440,45440,1,1
Crew,Netflix,Hindi,Movie,Myself,,1,45442,45442,1,1
Stree,Netflix,Hindi,Movie,Myself,,1,45443,45443,1,1
Roohi,Netflix,English,Movie,Myself,,1,45447,45447,1,1
Sukhee,Netflix,Hindi,Movie,Myself,,1,45451,45451,1,1
Queen,Netflix,Hindi,Movie,Myself,,1,45454,45455,2,0.5
Ant-Man and the Wasp: Quantumania,Disney Plus,English,Movie,Myself,,1,45454,45454,1,1
Bridgerton ,Netflix,English,Series,Myself,Season 3 part 2,4,45456,45456,1,4
Derry Girls,Netflix,English,Series,Myself,3,19,45457,45460,4,4.75
Guardians of the Galaxy Vol 3,Disney Plus,English,Movie,Myself,,1,45458,45458,1,1
Queen Charlotte,Netflix,English,Series,Myself,1,6,45460,45461,2,3
The Good Place,Netflix,English,Series,Myself,4,50,45461,45469,9,5.555555556
Lilo & Stitch,Netflix,English,Movie,Myself,,1,45461,45461,1,1
Kota Factory,Netflix,English,Series,Myself,Season 3,5,45463,45465,3,1.666666667
The Little Mermaid ,Disney Plus,English,Movie,Myself,,1,45467,45467,1,1
Panchayat,Prime,Hindi,Series,Myself,Season 3,8,45467,45469,3,2.666666667
Teri Baaton Mein Aisa Uljha Jiya,Prime,Hindi,Movie,Myself,,1,45469,45470,2,0.5
Wild Wild Country,Netflix,English,Series,Myself,1,6,45470,45476,7,0.857142857
All India Rank,Netflix,Hindi,Movie,Myself,,1,45470,45470,1,1
Irish Wish,Netflix,English,Movie,Myself,,1,45472,45472,1,1
Bhakshak,Netflix,Hindi,Movie,Myself,,1,45472,45472,1,1
Maharaj,Netflix,Hindi,Movie,Myself,,1,45474,45474,1,1
The Good Wife,Prime,English,Movie,Myself,7,156,45475,45497,23,6.782608696
House of the Dragon ,HBOMax,English,Series,Myself,Season 2,8,45475,45508,34,0.235294118
Great Indian Kapil Show,Netflix,Hindi,Talk Show,Myself,1,13,45479,45533,55,0.236363636
Maharaja,Netflix,Hindi,Movie,Myself,,1,45494,45494,1,1
The Middle,Prime,English,Series,Myself,9,215,45498,45520,23,9.347826087
Aadujeevitham: The Goat Life,Netflix,Hindi,Movie,Myself,,1,45500,45500,1,1
Olympics 2024,Peacock,English,Special,Myself,,,45499,45509,11,0
Srikanth,Netflix,Hindi,Movie,Myself,,1,45512,45512,1,1
Phir Aayi Hasseen Dilruba,Netflix,Hindi,Movie,Myself,,1,45513,45513,1,1
Deadpool 2,Disney Plus,English,Movie,Myself,,1,45517,45517,1,1
Piku,Downloaded,Hindi,Movie,Myself,,1,45517,45517,1,1
Emily in Paris,Netflix,English,Series,Myself,3,30,45519,45523,5,6
The Lion King,Disney Plus,English,Movie,Myself,,1,45519,45519,1,1
Mr & Mrs Mahi,Netflix,English,Movie,Myself,,1,45520,45520,1,1
The Witch,HBOMax,English,Movie,Myself,,1,45523,45523,1,1
Dune Part One,HBOMax,English,Movie,Myself,,1,45523,45524,2,0.5
Emily in Paris,Netflix,English,Series,Myself,Season 4 part 1,5,45523,45523,1,5
Dune Part Two,HBOMax,English,Movie,Myself,,1,45524,45524,1,1
Barry,HBOMax,English,Series,Myself,4,32,45525,45528,4,8
Kalki 2898AD,Netflix,Hindi,Movie,Myself,,1,45525,45525,1,1
Rajneeti,Netflix,Hindi,Movie,Myself,,1,45534,45535,2,0.5
Tribhuban Mishra CA Topper,Netflix,Hindi,Series,Myself,1,9,45535,45537,3,3
Joy Baba Felunath,HBOMax,Bangla,Movie,Friends,,1,45536,45536,1,1
IC814,Netflix,Hindi,Series,Myself,1,6,45538,45538,1,6
Suits,Netflix,English,Series,Myself,9,134,45540,45598,59,2.271186441
Kevin Can F**k Himself,Netflix,English,Series,Myself,2,16,45546,45549,4,4
Emily in Paris,Netflix,English,Series,Myself,Season 4 part 2,5,45548,45548,1,5
Abott Elementary ,Hulu,English,Series,Myself,Season 3,14,45549,45550,2,7
Sector 36,Netflix,Hindi,Movie,Myself,,1,45551,45551,1,1
The Perfect Couple,Netflix,English,Series,Myself,1,6,45554,45554,1,6
Laapataa Ladies,Netflix,Hindi,Movie,Myself,,1,45558,45558,1,1
